"RunIndex","WorldSeed","ProcessExitCode","ElapsedSeconds","RunPassed","FreshWorldSeed","StrictProspective","SharedPerception","PreWorldProtocolHash","PerceptionValidationAccuracy","TrainingMembershipPerceptionAccuracy","MaximumTrainingInteractionOrder","HighOrderTouchedBeforeFreeze","InferredFactors","LocalStateCounts","LearnedInteractionEdges","ConditionalTransitionCells","ExpectedConditionalTransitionCells","MembershipQueriesBeforeFreeze","ReasonValidationAccuracy","ReasonValidationBalancedAccuracy","FinalReasonTrainingAccuracy","FinalReasonTrainingBalancedAccuracy","TrueJointStates","HighOrderHoldoutStates","TCCTHighOrderExact","TCCTHighOrderExactAccuracy","NeuralHighOrderExact","NeuralHighOrderExactAccuracy","TCCTProbeAccuracy","TCCTProbeBalancedAccuracy","NeuralProbeAccuracy","NeuralZeroAccuracy","NeuralOneAccuracy","NeuralBalancedAccuracy","HighOrderTransitionCases","TCCTTransitionExact","TCCTTransitionExactAccuracy","NeuralTransitionExact","NeuralTransitionExactAccuracy","TCCTTransitionProbeAccuracy","NeuralTransitionProbeAccuracy","NeuralTransitionZeroAccuracy","NeuralTransitionOneAccuracy","NeuralTransitionBalancedAccuracy","TCCTMinusNeuralExact","TCCTMinusNeuralProbe","TCCTMinusNeuralTransitionExact","WinnerMargin","StrictProtocolPass","GeneralizationDiagnosis","MatchedRestartSpec","MatchedSelectionCandidateMetrics","MatchedFinalCandidateMetrics","MatchedSelectedSelectionSeed","MatchedSelectedFinalSeed","MatchedReasonParameterCount","StrongReasonParameterCount","StrongReasonSpec","StrongReasonValidationAccuracy","StrongReasonValidationBalancedAccuracy","StrongFinalReasonTrainingAccuracy","StrongFinalReasonTrainingBalancedAccuracy","StrongReasonFreezeFileHash","StrongHighOrderExact","StrongHighOrderExactAccuracy","StrongProbeAccuracy","StrongProbeZeroAccuracy","StrongProbeOneAccuracy","StrongProbeBalancedAccuracy","StrongTransitionExact","StrongTransitionExactAccuracy","StrongTransitionProbeAccuracy","StrongTransitionZeroAccuracy","StrongTransitionOneAccuracy","StrongTransitionBalancedAccuracy","BestNeuralStateExactAccuracy","BestNeuralTransitionExactAccuracy","TCCTMinusBestNeuralStateExact","TCCTMinusBestNeuralTransitionExact","PilotProtocolPass","PilotOutcome","AllModelsFrozenBeforeHighOrder"
1,1258501,0,584.2998225,true,"1258501","True","True","""617486249f59e31d4f5576eba9cdc59fd6ca3b1238d448f6ef566c70ca891bf9""","1.","1.","2","0","4","{4, 5, 3, 2}","{4 -> 1, 3 -> 2}","42","42","1842","0.8337182448036952","0.7293650793650794","0.8447339847991314","0.722614021525837","120","74",74,"1.",0,"0.","1.","1.","0.5781853281853282","0.7418918918918919","0.16891891891891891","0.4554054054054054","592",592,"1.",0,"0.","1.","0.589527027027027","0.7452702702702703","0.20016891891891891","0.47271959459459456","1.","0.4218146718146718","1.","0.02","True","""STRICT_FRESH_WORLD_TCCT_HIGH_ORDER_GENERALIZATION_ADVANTAGE""","<|""SelectionSeeds"" -> {1258611, 1258612, 1258613}, ""FinalSeeds"" -> {1258621, 1258622, 1258623}, ""SelectionMetric"" -> ""LowOrderValidationBalancedAccuracy"", ""FinalMetric"" -> ""LowOrderTrainingBalancedAccuracy"", ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""HighOrderUsedForSelection"" -> False, ""ArchitectureChanged"" -> False|>","{<|""Seed"" -> 1258611, ""ValidationAccuracy"" -> 0.8244803695150116, ""ValidationBalancedAccuracy"" -> 0.7097659402744149|>, <|""Seed"" -> 1258612, ""ValidationAccuracy"" -> 0.8337182448036952, ""ValidationBalancedAccuracy"" -> 0.7293650793650794|>, <|""Seed"" -> 1258613, ""ValidationAccuracy"" -> 0.8221709006928406, ""ValidationBalancedAccuracy"" -> 0.694928705945655|>}","{<|""Seed"" -> 1258621, ""TrainingAccuracy"" -> 0.8452768729641694, ""TrainingBalancedAccuracy"" -> 0.7217413926384016|>, <|""Seed"" -> 1258622, ""TrainingAccuracy"" -> 0.8447339847991314, ""TrainingBalancedAccuracy"" -> 0.722614021525837|>, <|""Seed"" -> 1258623, ""TrainingAccuracy"" -> 0.8447339847991314, ""TrainingBalancedAccuracy"" -> 0.7207453767021467|>}","1258612","1258622","85890","339170","<|""DModel"" -> 96, ""Heads"" -> 4, ""Layers"" -> 3, ""FF"" -> 384, ""Dropout"" -> 0.1, ""LearningRate"" -> 0.0003, ""BatchSize"" -> 64, ""Rounds"" -> 35, ""Patience"" -> 6, ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""SelectSeed"" -> 1258102, ""FinalSeed"" -> 1258103, ""ComparisonRole"" -> ""Approximately4xMatchedTransformerReasoner""|>","0.8406466512702079","0.7341269841269842","0.8648208469055375","0.7700555985015163","""84a8c83877cb9b0ec901cebacbdc642aced05ef6853e211376940b02d88f32f2""","0","0.","0.5666023166023166","0.7256756756756757","0.16891891891891891","0.4472972972972973","0","0.","0.5897683397683398","0.7383445945945946","0.21832770270270271","0.47833614864864865","0.","0.","1.","1.","True","""TCCT_ADVANTAGE_OVER_BEST_NEURAL_BASELINE""","True"
2,1258502,0,597.7494209,true,"1258502","True","True","""617486249f59e31d4f5576eba9cdc59fd6ca3b1238d448f6ef566c70ca891bf9""","1.","1.","2","0","4","{4, 5, 3, 2}","{3 -> 1, 4 -> 2}","41","41","1836","0.8181818181818182","0.7209346929642297","0.8393246187363834","0.7342685415685483","120","74",74,"1.",0,"0.","1.","1.","0.5752895752895753","0.7297297297297297","0.1891891891891892","0.45945945945945943","592",592,"1.",0,"0.","1.","0.582046332046332","0.7207770270270271","0.2352195945945946","0.47799831081081084","1.","0.42471042471042475","1.","0.02","True","""STRICT_FRESH_WORLD_TCCT_HIGH_ORDER_GENERALIZATION_ADVANTAGE""","<|""SelectionSeeds"" -> {1258611, 1258612, 1258613}, ""FinalSeeds"" -> {1258621, 1258622, 1258623}, ""SelectionMetric"" -> ""LowOrderValidationBalancedAccuracy"", ""FinalMetric"" -> ""LowOrderTrainingBalancedAccuracy"", ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""HighOrderUsedForSelection"" -> False, ""ArchitectureChanged"" -> False|>","{<|""Seed"" -> 1258611, ""ValidationAccuracy"" -> 0.8181818181818182, ""ValidationBalancedAccuracy"" -> 0.7209346929642297|>, <|""Seed"" -> 1258612, ""ValidationAccuracy"" -> 0.8207070707070707, ""ValidationBalancedAccuracy"" -> 0.6913819007128472|>, <|""Seed"" -> 1258613, ""ValidationAccuracy"" -> 0.8358585858585859, ""ValidationBalancedAccuracy"" -> 0.7160598408081067|>}","{<|""Seed"" -> 1258621, ""TrainingAccuracy"" -> 0.8393246187363834, ""TrainingBalancedAccuracy"" -> 0.7342685415685483|>, <|""Seed"" -> 1258622, ""TrainingAccuracy"" -> 0.8453159041394336, ""TrainingBalancedAccuracy"" -> 0.7234250599923748|>, <|""Seed"" -> 1258623, ""TrainingAccuracy"" -> 0.8338779956427015, ""TrainingBalancedAccuracy"" -> 0.7062078091008993|>}","1258611","1258621","85890","339170","<|""DModel"" -> 96, ""Heads"" -> 4, ""Layers"" -> 3, ""FF"" -> 384, ""Dropout"" -> 0.1, ""LearningRate"" -> 0.0003, ""BatchSize"" -> 64, ""Rounds"" -> 35, ""Patience"" -> 6, ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""SelectSeed"" -> 1258102, ""FinalSeed"" -> 1258103, ""ComparisonRole"" -> ""Approximately4xMatchedTransformerReasoner""|>","0.8484848484848485","0.7503756033628488","0.8632897603485838","0.7738164121195811","""b65ac15f06fec4eb0e193c3aa143265aeb19077564e7a272bd382ff33bc61afc""","0","0.","0.6496138996138996","0.8297297297297297","0.19932432432432431","0.514527027027027","0","0.","0.6463561776061776","0.8216216216216217","0.20819256756756757","0.5149070945945946","0.","0.","1.","1.","True","""TCCT_ADVANTAGE_OVER_BEST_NEURAL_BASELINE""","True"
3,1258503,0,580.8706797,true,"1258503","True","True","""617486249f59e31d4f5576eba9cdc59fd6ca3b1238d448f6ef566c70ca891bf9""","1.","1.","2","0","4","{4, 2, 3, 5}","{2 -> 4, 3 -> 1}","41","41","1846","0.8308457711442786","0.7314511437057905","0.8429035752979415","0.7310034062194222","120","74",74,"1.",0,"0.","1.","1.","0.6544401544401545","0.8486486486486486","0.16891891891891891","0.5087837837837837","592",592,"1.",0,"0.","1.","0.6613175675675675","0.8503378378378378","0.18876689189189189","0.5195523648648648","1.","0.34555984555984554","1.","0.02","True","""STRICT_FRESH_WORLD_TCCT_HIGH_ORDER_GENERALIZATION_ADVANTAGE""","<|""SelectionSeeds"" -> {1258611, 1258612, 1258613}, ""FinalSeeds"" -> {1258621, 1258622, 1258623}, ""SelectionMetric"" -> ""LowOrderValidationBalancedAccuracy"", ""FinalMetric"" -> ""LowOrderTrainingBalancedAccuracy"", ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""HighOrderUsedForSelection"" -> False, ""ArchitectureChanged"" -> False|>","{<|""Seed"" -> 1258611, ""ValidationAccuracy"" -> 0.8308457711442786, ""ValidationBalancedAccuracy"" -> 0.7287564687509569|>, <|""Seed"" -> 1258612, ""ValidationAccuracy"" -> 0.8383084577114428, ""ValidationBalancedAccuracy"" -> 0.7231680803503078|>, <|""Seed"" -> 1258613, ""ValidationAccuracy"" -> 0.8308457711442786, ""ValidationBalancedAccuracy"" -> 0.7314511437057905|>}","{<|""Seed"" -> 1258621, ""TrainingAccuracy"" -> 0.8353196099674973, ""TrainingBalancedAccuracy"" -> 0.7058956758333099|>, <|""Seed"" -> 1258622, ""TrainingAccuracy"" -> 0.8429035752979415, ""TrainingBalancedAccuracy"" -> 0.7310034062194222|>, <|""Seed"" -> 1258623, ""TrainingAccuracy"" -> 0.8407367280606717, ""TrainingBalancedAccuracy"" -> 0.7276489980444956|>}","1258613","1258622","85890","339170","<|""DModel"" -> 96, ""Heads"" -> 4, ""Layers"" -> 3, ""FF"" -> 384, ""Dropout"" -> 0.1, ""LearningRate"" -> 0.0003, ""BatchSize"" -> 64, ""Rounds"" -> 35, ""Patience"" -> 6, ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""SelectSeed"" -> 1258102, ""FinalSeed"" -> 1258103, ""ComparisonRole"" -> ""Approximately4xMatchedTransformerReasoner""|>","0.8482587064676617","0.7462565453042227","0.8602383531960996","0.7584604065850615","""29dc1f6ca110c044f3541a81b8c077e4dd9d29772dd13a541863cc4e33dd560d""","0","0.","0.6148648648648649","0.7918918918918919","0.17229729729729729","0.4820945945945946","0","0.","0.6225868725868726","0.7891891891891892","0.20608108108108109","0.49763513513513513","0.","0.","1.","1.","True","""TCCT_ADVANTAGE_OVER_BEST_NEURAL_BASELINE""","True"
4,1258504,0,576.7678172,true,"1258504","True","True","""617486249f59e31d4f5576eba9cdc59fd6ca3b1238d448f6ef566c70ca891bf9""","1.","1.","2","0","4","{3, 4, 5, 2}","{4 -> 3, 1 -> 2}","41","41","1846","0.8197530864197531","0.7231028003394351","0.8499458288190682","0.7345998469347725","120","74",74,"1.",0,"0.","1.","1.","0.61003861003861","0.7878378378378378","0.16554054054054054","0.4766891891891892","592",592,"1.",0,"0.","1.","0.6181225868725869","0.7826013513513513","0.20692567567567569","0.4947635135135135","1.","0.38996138996138996","1.","0.02","True","""STRICT_FRESH_WORLD_TCCT_HIGH_ORDER_GENERALIZATION_ADVANTAGE""","<|""SelectionSeeds"" -> {1258611, 1258612, 1258613}, ""FinalSeeds"" -> {1258621, 1258622, 1258623}, ""SelectionMetric"" -> ""LowOrderValidationBalancedAccuracy"", ""FinalMetric"" -> ""LowOrderTrainingBalancedAccuracy"", ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""HighOrderUsedForSelection"" -> False, ""ArchitectureChanged"" -> False|>","{<|""Seed"" -> 1258611, ""ValidationAccuracy"" -> 0.8197530864197531, ""ValidationBalancedAccuracy"" -> 0.7231028003394351|>, <|""Seed"" -> 1258612, ""ValidationAccuracy"" -> 0.8074074074074075, ""ValidationBalancedAccuracy"" -> 0.7009789065341253|>, <|""Seed"" -> 1258613, ""ValidationAccuracy"" -> 0.817283950617284, ""ValidationBalancedAccuracy"" -> 0.7024033216147412|>}","{<|""Seed"" -> 1258621, ""TrainingAccuracy"" -> 0.847237269772481, ""TrainingBalancedAccuracy"" -> 0.7321166078732371|>, <|""Seed"" -> 1258622, ""TrainingAccuracy"" -> 0.8499458288190682, ""TrainingBalancedAccuracy"" -> 0.7345998469347725|>, <|""Seed"" -> 1258623, ""TrainingAccuracy"" -> 0.8353196099674973, ""TrainingBalancedAccuracy"" -> 0.7108695555631216|>}","1258611","1258622","85890","339170","<|""DModel"" -> 96, ""Heads"" -> 4, ""Layers"" -> 3, ""FF"" -> 384, ""Dropout"" -> 0.1, ""LearningRate"" -> 0.0003, ""BatchSize"" -> 64, ""Rounds"" -> 35, ""Patience"" -> 6, ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""SelectSeed"" -> 1258102, ""FinalSeed"" -> 1258103, ""ComparisonRole"" -> ""Approximately4xMatchedTransformerReasoner""|>","0.8419753086419753","0.7303764092617288","0.8656554712892741","0.7715094392690764","""cdc732d3709dbe15a1da6e68b2c2c367b590b992f9e815463fa31f4b6467087e""","0","0.","0.6592664092664092","0.8391891891891892","0.20945945945945946","0.5243243243243243","0","0.","0.6580598455598455","0.8405405405405405","0.20185810810810811","0.5211993243243243","0.","0.","1.","1.","True","""TCCT_ADVANTAGE_OVER_BEST_NEURAL_BASELINE""","True"
5,1258505,0,581.2770719,true,"1258505","True","True","""617486249f59e31d4f5576eba9cdc59fd6ca3b1238d448f6ef566c70ca891bf9""","1.","1.","2","0","4","{4, 3, 5, 2}","{4 -> 3, 2 -> 1}","41","41","1846","0.8199513381995134","0.7165171942745144","0.8369447453954496","0.7250428923110629","120","74",74,"1.",0,"0.","1.","1.","0.5588803088803089","0.7108108108108108","0.17905405405405406","0.4449324324324324","592",592,"1.",0,"0.","1.","0.5793918918918919","0.7189189189189189","0.23057432432432431","0.4747466216216216","1.","0.44111969111969107","1.","0.02","True","""STRICT_FRESH_WORLD_TCCT_HIGH_ORDER_GENERALIZATION_ADVANTAGE""","<|""SelectionSeeds"" -> {1258611, 1258612, 1258613}, ""FinalSeeds"" -> {1258621, 1258622, 1258623}, ""SelectionMetric"" -> ""LowOrderValidationBalancedAccuracy"", ""FinalMetric"" -> ""LowOrderTrainingBalancedAccuracy"", ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""HighOrderUsedForSelection"" -> False, ""ArchitectureChanged"" -> False|>","{<|""Seed"" -> 1258611, ""ValidationAccuracy"" -> 0.8223844282238443, ""ValidationBalancedAccuracy"" -> 0.7127011937993705|>, <|""Seed"" -> 1258612, ""ValidationAccuracy"" -> 0.8199513381995134, ""ValidationBalancedAccuracy"" -> 0.7165171942745144|>, <|""Seed"" -> 1258613, ""ValidationAccuracy"" -> 0.8223844282238443, ""ValidationBalancedAccuracy"" -> 0.7099542673873017|>}","{<|""Seed"" -> 1258621, ""TrainingAccuracy"" -> 0.8407367280606717, ""TrainingBalancedAccuracy"" -> 0.7232968532809102|>, <|""Seed"" -> 1258622, ""TrainingAccuracy"" -> 0.8374864572047671, ""TrainingBalancedAccuracy"" -> 0.7104935539406895|>, <|""Seed"" -> 1258623, ""TrainingAccuracy"" -> 0.8369447453954496, ""TrainingBalancedAccuracy"" -> 0.7250428923110629|>}","1258612","1258623","85890","339170","<|""DModel"" -> 96, ""Heads"" -> 4, ""Layers"" -> 3, ""FF"" -> 384, ""Dropout"" -> 0.1, ""LearningRate"" -> 0.0003, ""BatchSize"" -> 64, ""Rounds"" -> 35, ""Patience"" -> 6, ""ValidationBalancedGate"" -> 0.6, ""TrainingBalancedGate"" -> 0.7, ""SelectSeed"" -> 1258102, ""FinalSeed"" -> 1258103, ""ComparisonRole"" -> ""Approximately4xMatchedTransformerReasoner""|>","0.8126520681265207","0.7169774900516719","0.8613217768147345","0.7629354180205439","""12dde7b246b59afda32213855c7a597690726b115fb5bdfb714b0f1a87c0870d""","0","0.","0.640926640926641","0.8297297297297297","0.16891891891891891","0.4993243243243243","0","0.","0.6558880308880309","0.8388513513513514","0.19847972972972974","0.5186655405405406","0.","0.","1.","1.","True","""TCCT_ADVANTAGE_OVER_BEST_NEURAL_BASELINE""","True"
